#Transcript position	Transcript coverage profile
0.0	0.09572300311645868
1.0	0.09423045154731279
2.0	0.06339921009886479
3.0	0.046321574006188436
4.0	0.07100126080532071
5.0	0.09201504149974099
6.0	0.13132738423077384
7.0	0.0826353573004647
8.0	0.0626963595982861
9.0	0.06623229210375077
10.0	0.05481997108849375
11.0	0.056541202263116604
12.0	0.07486005105012532
13.0	0.12532439959890934
14.0	0.16572496270749054
15.0	0.16548503002036408
16.0	0.14155990446706712
17.0	0.10859258386481635
18.0	0.08295255842597982
19.0	0.09077606547199404
20.0	0.07992799676544178
21.0	0.06268107799884073
22.0	0.11691096629105563
23.0	0.13045904122581797
24.0	0.1401675310834012
25.0	0.11200056426923365
26.0	0.06732888046434123
27.0	0.10708424908423748
28.0	0.10200032984651912
29.0	0.07495929817587997
30.0	0.07836478924361208
31.0	0.04624115666070638
32.0	0.053255353364503516
33.0	0.08529768778061858
34.0	0.06962816055800872
35.0	0.07662247551789897
36.0	0.09042834175326987
37.0	0.10658665913714988
38.0	0.14397636040495015
39.0	0.15121513620309535
40.0	0.13180620075999394
41.0	0.1357313346804737
42.0	0.15689719750404202
43.0	0.12172015448708284
44.0	0.08145382469142676
45.0	0.07399505131391547
46.0	0.09190544307754767
47.0	0.09018613536222717
48.0	0.10960491775697996
49.0	0.12003893258925018
50.0	0.11099255822691137
51.0	0.11482172360976943
52.0	0.14627150686192286
53.0	0.1961346978974506
54.0	0.2082525703383571
55.0	0.19606616651297207
56.0	0.1260032908900552
57.0	0.11996571174292539
58.0	0.16243855382508218
59.0	0.15726260086191213
60.0	0.18433597533701412
61.0	0.11030919188927539
62.0	0.11872837610235708
63.0	0.15778821858051648
64.0	0.21417877519673303
65.0	0.19189899577994046
66.0	0.18007602817519555
67.0	0.21343553324115333
68.0	0.20260801354167732
69.0	0.17642466712644284
70.0	0.17082674613841922
71.0	0.1198998116470862
72.0	0.136993209011193
73.0	0.1519861711515771
74.0	0.15987815516642612
75.0	0.16861768339193065
76.0	0.17670298224051562
77.0	0.1522290180907016
78.0	0.13843346620711822
79.0	0.1515498506672607
80.0	0.17066470456947205
81.0	0.1702373056858443
82.0	0.21019193599289226
83.0	0.24088822154012485
84.0	0.16849446953465716
85.0	0.12485822115630697
86.0	0.1200790469976055
87.0	0.13814444450121124
88.0	0.12451810110088113
89.0	0.1352235396550774
90.0	0.14760436198518403
91.0	0.15803711515973273
92.0	0.14296674220073982
93.0	0.09615695471964991
94.0	0.14183721711881533
95.0	0.1662066334979949
96.0	0.17487380890722803
97.0	0.08156973259099483
98.0	0.028998841361536406
99.0	0.018579652800657473
