Unnamed: 0,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,Placebo,lowgel,color,marker,postgel,baseline
10079,ENSMMUG00000015873,-0.6291967430401559,2.66463822389519,-4.86825900934525,3.7105725990101204e-05,0.269469514363809,-0.010344985770887,8.141512326070314,6.577627003138833,blue,1,10.098627076035413,3.4168287443646714
23916,ENSMMUG00000018929,-0.502253001816519,7.56899514680946,-4.7451001984916505,5.21866832751469e-05,0.269469514363809,1.6484409895307202,74.62719560912785,72.63143505739653,blue,1,77.049502442062,68.69620283289365
3137,ENSMMUG00000004624,-0.39261770998765,4.54791630179648,-4.6449821019280595,6.88372152399746e-05,0.269469514363809,1.00800329667247,0.574177084579126,0.6408494172491704,blue,1,0.35006774023963244,0.9595586877969869
5410,ENSMMUG00000031586,-1.09136127187272,-0.052073986029304006,-4.61380906405415,7.502979656517041e-05,0.269469514363809,-2.9708515483443,261.7724776274078,260.8789227011944,blue,1,236.21725883657513,293.95361076373973
19655,ENSMMUG00000014792,-0.425246535652756,4.346450761056,-4.44939713020327,0.000118082250654405,0.33927392258023603,0.536244017166926,1.3997338101097148,1.2877324377204022,blue,1,1.0918214029600206,1.6473096730741128
28465,ENSMMUG00000021965,0.33391311268440504,6.31628368050145,4.1689069602453,0.000254826718018317,0.452217608073942,0.363510545992257,157.5879224223324,151.7959757695405,blue,1,147.81128270422462,162.3531405344538
10209,ENSMMUG00000001097,0.632324481339911,4.57972069266404,4.13784239853961,0.000277361801762994,0.452217608073942,0.0765861946415631,1.8822588477758642,2.118122280065818,blue,1,2.0009276328237755,2.0536567274223776
18754,ENSMMUG00000018110,0.196869937663066,6.66443911293701,4.11068130145498,0.000298666437107054,0.452217608073942,0.238251853778882,46.06685294122601,45.98519597738555,blue,1,49.516377455959365,41.44287277971869
23204,ENSMMUG00000004501,0.41778006809374496,5.007069541898111,4.0550162998692,0.000347487982251845,0.452217608073942,0.0128901476365462,26.88254946130562,25.66144675953584,blue,1,27.856317846435235,23.918402447531808
18605,ENSMMUG00000011743,0.24504281695333102,6.96186124030316,4.00713524167185,0.00039570141706546,0.452217608073942,0.005979692715977871,114.95629143098523,118.54913416339026,blue,1,118.99874943919453,114.64470551127235
21641,ENSMMUG00000006418,-0.4961377016846721,3.0034989772853304,-4.006350749717201,0.000396543720493185,0.452217608073942,-1.00872867530884,39.14833350997341,34.186461648857716,blue,1,35.267874585688745,37.35249568018547
2585,ENSMMUG00000019108,-0.32045718212589697,5.968660193101879,-3.98759924373109,0.00041720950977418704,0.452217608073942,-0.0626550164788666,29.5108077458207,26.733364638289842,blue,1,27.09009092521244,28.830670054650305
