Unnamed: 0,lowgel.postgel-Placebo.postgel,Placebo.postgel-Placebo.baseline,(lowgel.postgel-lowgel.baseline)-(Placebo.postgel-Placebo.baseline),lowgel.postgel,Placebo.postgel,Placebo.postgel.1,Placebo.baseline,lowgel.postgel-lowgel.baseline,Placebo.postgel-Placebo.baseline.1,genes
2,-0.27002115936181603,1.61784825828495,0.11708227245325699,3.1599371368690403,3.42995829623086,3.42995829623086,1.8121100379459099,1.7349305307382101,1.61784825828495,ENSMMUG00000031586
3,-0.0972990874848003,0.269909261877177,-0.175467318513654,6.2207498335075595,6.31804892099236,6.31804892099236,6.04813965911518,0.0944419433635231,0.269909261877177,ENSMMUG00000013458
4,0.406630922320575,-1.75739038172398,0.649975871401635,-1.4518918170965702,-1.85852273941715,-1.85852273941715,-0.101132357693171,-1.10741451032234,-1.75739038172398,ENSMMUG00000007168
6,0.0697628282363834,-0.44115182678118103,0.19776281312097002,7.88795311153939,7.818190283303009,7.818190283303009,8.25934211008419,-0.24338901366020999,-0.44115182678118103,ENSMMUG00000012419
7,-0.161014196419831,-0.349733190180113,-0.15280843538728198,0.0804185474716779,0.24143274389150898,0.24143274389150898,0.591165934071622,-0.502541625567395,-0.349733190180113,ENSMMUG00000007889
8,-0.0340710357383278,-0.16831077800366503,0.0466224465975706,7.1886138811497,7.2226849168880305,7.2226849168880305,7.39099569489169,-0.121688331406094,-0.16831077800366503,ENSMMUG00000029794
11,0.162233218636911,0.0418786371713844,-0.07574724190657901,1.0658309389116198,0.903597720274711,0.903597720274711,0.861719083103326,-0.0338686047351946,0.0418786371713844,ENSMMUG00000016327
12,-0.0693631616754553,0.37922514529569296,-0.19473001888482,5.59946740538822,5.668830567063679,5.668830567063679,5.28960542176798,0.184495126410873,0.37922514529569296,ENSMMUG00000008025
13,-0.0690112094249082,0.25847934673349204,-0.0315119159858304,4.76688410154979,4.8358953109747,4.8358953109747,4.577415964241211,0.226967430747662,0.25847934673349204,ENSMMUG00000029126
14,0.0320270088830448,0.0719106055023859,-0.0311674338556509,6.90177647471252,6.869749465829481,6.869749465829481,6.79783886032709,0.040743171646735,0.0719106055023859,ENSMMUG00000007950
15,-0.25790147804283103,0.0182591149008111,-0.145255134640635,5.003158228603231,5.261059706646059,5.261059706646059,5.24280059174525,-0.12699601973982402,0.0182591149008111,ENSMMUG00000004624
16,-0.205492020625906,-0.0122015685206458,-0.12355013468406,4.6538488590960405,4.85934087972195,4.85934087972195,4.8715424482425895,-0.135751703204706,-0.0122015685206458,ENSMMUG00000029739
17,0.0415245323516373,0.212810268950467,-0.119900130845264,4.80983268978666,4.76830815743502,4.76830815743502,4.55549788848456,0.0929101381052027,0.212810268950467,ENSMMUG00000016279
19,0.0251041987734091,-0.21803422658358898,0.12470334027938601,4.75887526467967,4.73377106590626,4.73377106590626,4.9518052924898495,-0.0933308863042024,-0.21803422658358898,ENSMMUG00000010062
23,-0.022677463216052005,0.21113345393234398,-0.10008948776406698,6.36107294098753,6.38375040420359,6.38375040420359,6.172616950271241,0.111043966168276,0.21113345393234398,ENSMMUG00000007499
24,-0.0369613022395687,-0.14900546604048098,0.195453843242645,2.98320278081706,3.0201640830566205,3.0201640830566205,3.16916954909711,0.0464483772021644,-0.14900546604048098,ENSMMUG00000016959
25,0.173315977953281,-0.5312351630541211,0.580305005629577,0.6858937721205601,0.512577794167279,0.512577794167279,1.0438129572213999,0.0490698425754563,-0.5312351630541211,ENSMMUG00000005730
29,-0.0333825933763343,0.0011856589345047301,-0.0289478907399978,5.254145488520179,5.287528081896509,5.287528081896509,5.28634242296201,-0.0277622318054931,0.0011856589345047301,ENSMMUG00000009418
30,0.05331070308684,0.0681133121728159,-0.123186276142571,5.22399339654849,5.170682693461651,5.170682693461651,5.10256938128883,-0.0550729639697547,0.0681133121728159,ENSMMUG00000003728
32,-0.140306364877188,0.0833998251549124,-0.128824253590657,4.731956977559889,4.87226334243708,4.87226334243708,4.78886351728216,-0.0454244284357443,0.0833998251549124,ENSMMUG00000015268
33,-0.0102978974300383,0.0544772564703218,-0.386798710077313,7.622014199282191,7.632312096712219,7.632312096712219,7.577834840241901,-0.332321453606991,0.0544772564703218,ENSMMUG00000030227
34,-0.0462870287698038,-0.11237265899012899,0.0935811154478019,4.4486311879035005,4.4949182166733,4.4949182166733,4.60729087566343,-0.0187915435423269,-0.11237265899012899,ENSMMUG00000017463
35,-0.0790006691631513,0.0339846950124265,-0.0439513273360683,5.1417341246791795,5.22073479384233,5.22073479384233,5.186750098829901,-0.009966632323641809,0.0339846950124265,ENSMMUG00000011453
36,-0.173816651937587,0.19179347343186104,-0.109793204333587,3.3744093236665202,3.54822597560411,3.54822597560411,3.3564325021722503,0.0820002690982742,0.19179347343186104,ENSMMUG00000002836
