Unnamed: 0,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_WT,WT1_S1_WT,WT2_S2_WT,WT3_S3_WT,mean_TR,IBET4_1_S4_TR,IBET4_2_S5_TR,IBET4_3_S6_TR
29705,ENSMUSG00000016559,-2.40472132664,10.121944835,-129.43740242,2.4095465334e-23,3.57745373813e-19,44.0212659152,1.22280887666,1.01370178734,1.44376022719,1.21096461544,-0.576202595848,-0.650547562935,-1.01717132068,-0.0608889039313
9316,ENSMUSG00000038393,-2.34915616311,8.97145119116,-109.482818343,2.63169089255e-22,1.95363573409e-18,41.6367666303,3.10574193507,3.11956820319,3.09262469729,3.10503290474,3.17832278911,3.22782297638,3.03353555692,3.27360983401
26786,ENSMUSG00000032494,2.59538520161,8.51778599823,99.944155591,9.6688347221e-22,4.12747896443e-18,40.3484437202,7.43288248255,7.3990096823,7.43589654509,7.46374122025,7.16967375816,7.17792679304,7.1818065528,7.14928792866
19887,ENSMUSG00000030970,-2.72508361775,7.86035761989,-98.9697604298,1.11200349281e-21,4.12747896443e-18,40.1522581868,7.09858492909,7.08220968841,7.07514453312,7.13840056574,7.3885977154,7.41595742287,7.34108331348,7.40875240984
22051,ENSMUSG00000031548,3.32898492522,6.54677474025,95.8150795511,1.76564377011e-21,5.24290261097e-18,39.4228294708,5.99915128487,5.98531660435,5.95382623096,6.05831101929,6.1883901277,6.18985707223,6.13250426983,6.24280904103
26293,ENSMUSG00000060461,2.13875887607,8.5977565104,94.5092035357,2.14762771794e-21,5.31430478804e-18,39.5698922936,1.91880113261,1.79629909045,2.04079850638,1.91930580098,3.47772523331,3.37920562285,3.52981538324,3.52415469385
38481,ENSMUSG00000024827,-3.10702654393,6.60462189493,-91.7359404988,3.28507527515e-21,6.96764465858e-18,38.8548067689,0.776060533108,0.982812719292,0.32005481858,1.02531406145,-0.392212483353,-0.514872080803,-0.741643025738,0.0798776564807
33351,ENSMUSG00000096210,-3.15117261035,7.02738526052,-89.1747471529,4.92068561338e-21,9.13217741273e-18,38.5944378172,6.71954037996,6.63155256206,6.75489687828,6.77217169953,7.19288668338,7.20489799842,7.18799210945,7.18576994227
27159,ENSMUSG00000020407,2.96709786958,6.45133152505,88.0318901298,5.91501054227e-21,9.75779572457e-18,38.3394666683,6.08496050822,6.09138226782,6.03361987113,6.12987938571,6.52685009171,6.56775513781,6.48653532203,6.52625981528
16414,ENSMUSG00000012396,2.84221690594,6.4762240471,87.3490983494,6.61003907671e-21,9.8139250172e-18,38.255045936,6.29625325312,6.23100616233,6.29505690659,6.36269669043,6.33121694652,6.35395759569,6.30620513802,6.33348810587
32377,ENSMUSG00000097451,-3.35255805871,6.05376885437,-81.9014450252,1.65646135925e-20,2.05734446313e-17,37.1532144714,4.25672129761,4.27678641493,4.27908981624,4.21428766165,3.60461452919,3.4882088723,3.54274454266,3.78289017262
21282,ENSMUSG00000019960,-2.23899089492,7.74694239912,-81.8793925845,1.66283650283e-20,2.05734446313e-17,37.5235372961,0.353344706489,0.462081927459,0.566362258625,0.0315899333826,0.0207447917852,0.188490149999,0.2048723004,-0.331128075043
