Unnamed: 0_x,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,Unnamed: 0_y,lowgel.Placebo,lowgel,Placebo
3067,ENSMMUG00000020654,-0.436753853095144,4.85058278469025,-5.897992400985559,1.69521025389947e-06,0.0243533905075198,5.13296343689466,3067,-0.436753853095144,4.66943939978601,5.106193252881161
10079,ENSMMUG00000015873,0.502829498615523,2.66463822389519,5.408277752995759,6.83806986987613e-06,0.0376490928790611,3.62138807192995,10079,0.502829498615523,2.88582812455538,2.3829986259398503
25578,ENSMMUG00000005551,0.60456204498419,6.219040430733731,5.35940842410767,7.86212436566779e-06,0.0376490928790611,3.6613551536529902,25578,0.60456204498419,6.45980232428638,5.8552402793021905
28180,ENSMMUG00000017111,0.786528369940234,3.35620758637587,4.997053863613379,2.21317631874748e-05,0.0656339374562211,2.6932374665193097,28180,0.786528369940234,3.71346478863124,2.92693641869101
23204,ENSMMUG00000004501,-0.39458872478895,5.007069541898111,-4.98596416413886,2.28434976528683e-05,0.0656339374562211,2.66331147170219,23204,-0.39458872478895,4.840710901658491,5.23529962644744
28465,ENSMMUG00000021965,-0.291268993695305,6.31628368050145,-4.876988026605019,3.11724652995622e-05,0.0746372727489184,2.3445314065539504,28465,-0.291268993695305,6.1995456873476895,6.490814681043
28593,ENSMMUG00000022621,-0.27588348618481,5.4988811289856505,-4.785657899926719,4.04372153077867e-05,0.0796925750246081,2.1061397018522503,28593,-0.27588348618481,5.38784776529659,5.6637312514814
10932,ENSMMUG00000012120,-0.35097950884297996,4.45645344743854,-4.75298501278303,4.43784352079121e-05,0.0796925750246081,2.05811106635052,10932,-0.35097950884297996,4.30382697463018,4.65480648347316
7202,ENSMMUG00000001375,0.4594076006398421,4.13106832328773,4.67250808815726,5.57901671318312e-05,0.0810621099789331,1.8638014050221399,7202,0.4594076006398421,4.3056996494527295,3.84629204881288
1580,ENSMMUG00000016733,-0.27534083920236896,5.815098153429941,-4.66851729423815,5.6426360837347305e-05,0.0810621099789331,1.78218593915934,1580,-0.27534083920236896,5.70603401858764,5.98137485779001
20325,ENSMMUG00000012668,0.32684149678193103,5.36036325846053,4.56807954090044,7.50362954386867e-05,0.0951803719683243,1.52812311175407,20325,0.32684149678193103,5.495392011324821,5.16855051454289
24138,ENSMMUG00000029247,1.05414236575049,1.3805958335297501,4.53900116554435,8.148057112123571e-05,0.0951803719683243,1.10165484967376,24138,1.05414236575049,1.76003371047311,0.7058913447226178
26286,ENSMMUG00000018011,-0.552687062028886,3.5536233517936804,-4.4944036079622105,9.24441789685295e-05,0.0951803719683243,1.4069656777323898,26286,-0.552687062028886,3.3082339500557296,3.86092101208462
8482,ENSMMUG00000005113,0.471457865147658,3.8026504480039303,4.49321521156523,9.27554787384477e-05,0.0951803719683243,1.4028097696578898,8482,0.471457865147658,3.9881577266515498,3.5166998615039
19655,ENSMMUG00000014792,0.335350016751583,4.346450761056,4.4532090726393205,0.000103862602063637,0.0994726760830807,1.27434861993867,19655,0.335350016751583,4.499901895544809,4.16455187879323
4854,ENSMMUG00000002889,0.310059247815217,4.79782889114274,4.3893721139906505,0.000124368865318873,0.106272456893305,1.07879784136542,4854,0.310059247815217,4.93067507807937,4.620615830264151
24221,ENSMMUG00000013870,2.43075558327461,-0.37703470434341707,4.3690657841441,0.00013169485147043102,0.106272456893305,-0.696142562871289,24221,2.43075558327461,0.5267208249919141,-1.90403475828269
9756,ENSMMUG00000012726,0.40256967414945705,2.42542011266895,4.3651522568464,0.00013315496478348202,0.106272456893305,1.01720242668059,9756,0.40256967414945705,2.59539821023716,2.19282853608771
18612,ENSMMUG00000008065,-0.2596511121976,5.88796887353119,-4.32455743884745,0.00014927581067999398,0.11072899207068901,0.8566090693905991,18612,-0.2596511121976,5.78357926699498,6.04323037919258
12125,ENSMMUG00000011739,0.301319004041212,4.998082253904251,4.31312349347144,0.000154154242058595,0.11072899207068901,0.864788785701489,12125,0.301319004041212,5.12157168895175,4.82025268491054
18754,ENSMMUG00000018110,-0.159668743680875,6.66443911293701,-4.261873222563951,0.00017802455467188,0.115476454634921,0.6902315660609061,18754,-0.159668743680875,6.601453714138111,6.76112245781898
7718,ENSMMUG00000001209,0.620420699757744,3.0222212817960696,4.25904234099513,0.00017944436907567,0.115476454634921,0.8011406661173779,7718,0.620420699757744,3.3052691081453998,2.6848484083876603
15667,ENSMMUG00000030600,0.595478098376212,1.5001068201048702,4.1722075234442,0.000228851449784336,0.115476454634921,0.36806948973169495,15667,0.595478098376212,1.75437020669281,1.1588921083166
3079,ENSMMUG00000016789,0.316801545618853,6.9604574146174905,4.16447518308183,0.00023385119581387798,0.115476454634921,0.43622286462645704,3079,0.316801545618853,7.086210847299969,6.7694093016811205
7899,ENSMMUG00000002480,-1.86566741876654,-0.410067394991603,-4.1459342262520895,0.000246281621962903,0.115476454634921,-0.41535973214525296,7899,-1.86566741876654,-1.3134053349937,0.552262083772843
20214,ENSMMUG00000020760,-0.33857505567735807,5.07240623725256,-4.13347692203933,0.000254995945633281,0.115476454634921,0.3786552735379621,20214,-0.33857505567735807,4.93442411754771,5.27299917322507
16051,ENSMMUG00000011180,0.290425116407255,3.1868054036996503,4.127905739604221,0.000258990606549774,0.115476454634921,0.47774941301069296,16051,0.290425116407255,3.3019381351491703,3.0115130187419097
13456,ENSMMUG00000000323,0.320442217133666,4.9719814596007,4.12267424498373,0.00026279766630995697,0.115476454634921,0.36469548011538294,13456,0.320442217133666,5.10279643856775,4.78235422143408
8748,ENSMMUG00000003844,-1.40834274292727,-0.305469594865323,-4.1184128111947205,0.000265939393574657,0.115476454634921,-0.40664654009286205,8748,-1.40834274292727,-0.860896151192095,0.547446591735171
