#Transcript position	Transcript coverage profile
0.0	0.10689395166120015
1.0	0.12772628606838785
2.0	0.10633937919832216
3.0	0.13762932483523435
4.0	0.12170805879251448
5.0	0.12374025901042035
6.0	0.1219149403461694
7.0	0.1299207027112044
8.0	0.10372190661827062
9.0	0.09644817704688667
10.0	0.12061047388555526
11.0	0.16360040176091045
12.0	0.17628702160493703
13.0	0.18294527515174866
14.0	0.08942300714130233
15.0	0.09821403287122954
16.0	0.0911075773204925
17.0	0.10332634840854404
18.0	0.1042862444979268
19.0	0.1187332534043199
20.0	0.10414240441679563
21.0	0.09639741742019775
22.0	0.06135864166703315
23.0	0.051954559727636115
24.0	0.06620657782325089
25.0	0.10376427887507735
26.0	0.15022115984203616
27.0	0.19126936879789536
28.0	0.15090195718453991
29.0	0.13146987767359913
30.0	0.1248315884230097
31.0	0.09027261954553857
32.0	0.09536945207975306
33.0	0.07584619646916489
34.0	0.07399207305006991
35.0	0.09860904123981819
36.0	0.12403946070136185
37.0	0.17708529336080464
38.0	0.11448770235786024
39.0	0.16129171750272817
40.0	0.22201567667209018
41.0	0.2305153408233017
42.0	0.1896160294501376
43.0	0.17917346826323516
44.0	0.16448155796316236
45.0	0.10925024949391572
46.0	0.11822137419474951
47.0	0.08581411135159116
48.0	0.11804439116422291
49.0	0.12508873180721544
50.0	0.09501951348026144
51.0	0.07646566226843036
52.0	0.10543891252021165
53.0	0.13065121798068438
54.0	0.13576429137220825
55.0	0.12438404901190046
56.0	0.10939493163008143
57.0	0.10545043337043847
58.0	0.12685283831275365
59.0	0.09062860239415571
60.0	0.08600327737088445
61.0	0.14027576892789728
62.0	0.1351987048516905
63.0	0.1356372738792639
64.0	0.12791789986640922
65.0	0.17766586137127366
66.0	0.19935609614238103
67.0	0.09771109953299323
68.0	0.13067564138089735
69.0	0.15305602641786153
70.0	0.13438983675884153
71.0	0.13843491396880825
72.0	0.10689280413241728
73.0	0.1026840915932447
74.0	0.1535091638541643
75.0	0.141416987190538
76.0	0.1315736495567953
77.0	0.14717591170548325
78.0	0.1485934138936136
79.0	0.1517089814562254
80.0	0.1766186809355648
81.0	0.1754697498259254
82.0	0.16403898815806234
83.0	0.17089735941716977
84.0	0.17141877708694478
85.0	0.14621354662776595
86.0	0.14195058731999352
87.0	0.12105351733515478
88.0	0.13629191200971236
89.0	0.1605081623641996
90.0	0.21162015094545109
91.0	0.25542387430884117
92.0	0.23722812124667397
93.0	0.2036409577746748
94.0	0.1932686437540315
95.0	0.18742238192464142
96.0	0.15023183089257205
97.0	0.08189981213241072
98.0	0.0549994179948404
99.0	0.01527975214489288
